Card ID,Card Name,Card Type
21044178,Abyss Dweller,XYZ Monster
40387124,Abyss Flower,Normal Monster
77297908,Abyss Playhouse - Fantastic Theater,Spell Card
86578200,Abyss Prop - Wild Wagon,Spell Card
70564929,Abyss Script - Abysstainment,Spell Card
87390798,Abyss Script - Fantasy Magic,Spell Card
50179591,Abyss Script - Fire Dragon's Lair,Spell Card
23784496,Abyss Script - Opening Ceremony,Spell Card
13662809,Abyss Script - Rise of the Abyss King,Spell Card
41803903,Abyss Script - Romantic Terror,Spell Card
18318842,Abyss Soldier,Effect Monster
97232518,Abyss Stungray,Trap Card
88409165,Abyss Warrior,Effect Monster
19596712,Abyss-scale of Cetus,Spell Card
8719957,Abyss-scale of the Kraken,Spell Card
72932673,Abyss-scale of the Mizuchi,Spell Card
79206750,Abyss-scorn,Trap Card
60202749,Abyss-sphere,Trap Card
34707034,Abyss-squall,Trap Card
97697447,Abyss-strom,Trap Card
89801755,Abyssal Designator,Spell Card
44223284,Abyssal Kingshark,Effect Monster
37675907,Accel Synchron,Synchro Tuner Monster
34838437,Accellight,Spell Card
86066372,Accesscode Talker,Link Monster
98444741,Accumulated Fortune,Trap Card
98865920,Achacha Archer,Effect Monster
62476197,Achacha Chanbara,Effect Monster
15808381,Achichi @Ignister,Effect Monster
77568553,Acid Crawler,Normal Monster
21323861,Acid Rain,Spell Card
41356845,Acid Trap Hole,Trap Card
35956022,Acidic Downpour,Spell Card
21051977,Acorno,Effect Monster
47372349,Acrobat Monkey,Normal Monster
33656832,Acrobatic Magician,Pendulum Effect Monster
35498188,Action Magic - Double Banking,Spell Card
99004583,Action Magic - Full Turn,Spell Card
11302671,Adamancipator Analyzer,Tuner Monster
10286023,Adamancipator Crystal - Dragite,Effect Monster
47897376,Adamancipator Crystal - Leonite,Effect Monster
74891384,Adamancipator Crystal - Raptite,Effect Monster
99927991,Adamancipator Friends,Spell Card
46552140,Adamancipator Laputite,Spell Card
9341993,Adamancipator Relief,Trap Card
85914562,Adamancipator Researcher,Tuner Monster
45730592,Adamancipator Resonance,Trap Card
9464441,Adamancipator Risen - Dragite,Synchro Monster
47674738,Adamancipator Risen - Leonite,Synchro Monster
73079836,Adamancipator Risen - Raptite,Synchro Monster
48519867,Adamancipator Seeker,Tuner Monster
72957245,Adamancipator Signs,Spell Card
62325062,Adhesion Trap Hole,Trap Card
53828396,Adhesive Explosive,Effect Monster
94119480,,Adreus,, Keeper of Armageddon,,XYZ Monster
51630558,Advance Draw,Spell Card
38589847,Advance Force,Spell Card
76224717,Advance Zone,Spell Card
12644061,Advanced Dark,Spell Card
61314842,Advanced Heraldry Art,Spell Card
46052429,Advanced Ritual Art,Spell Card
10678778,Aegaion the Sea Castrum,XYZ Monster
47060347,Aegis of Gaia,Trap Card
7935043,Aegis of the Ocean Dragon Lord,Trap Card
70875955,Aerial Recharge,Trap Card
56804361,,Aether,, the Empowering Dragon,,Effect Monster
28865322,,Aether,, the Evil Empowering Dragon,,Pendulum Effect Monster
82263578,After the Storm,Spell Card
25345186,After The Struggle,Spell Card
43575579,Afterglow,Spell Card
64952266,Against the Wind,Spell Card
2411269,Agave Dragon,Link Monster
16135253,Agido,Effect Monster
86377375,,Ahrima,, the Wicked Warden,,Effect Monster
69023354,Air Armor Ninja,Effect Monster
98864751,Air Cracking Storm,Spell Card
8353769,Air Eater,Normal Monster
18036057,Airknight Parshath,Effect Monster
84747429,Airorca,Effect Monster
48202661,Aitsu,Normal Monster
35877582,,Aiwass,, the Magistus Spell Spirit,,Fusion Monster
38035986,Akakieisu,Normal Monster
28776350,Akashic Magician,Link Monster
36904469,Akihiron,Normal Monster
38837163,,Akz,, the Pumer,,Effect Monster
25795273,Al-Lumi'raj,Tuner Monster
87746184,Albion the Stigmatika Dragon,Fusion Monster
65301952,Alchemic Magician,XYZ Monster
78121572,Alchemist of Black Spells,Effect Monster
65384019,Alchemy Cycle,Trap Card
17573739,,Alector,, Sovereign of Birds,,Effect Monster
86120751,Aleister the Invoker,Effect Monster
97973962,Aleister the Invoker of Madness,Link Monster
100416006,,Aleth,, Dusk of the Abhyss,,Effect Monster
43096270,Alexandrite Dragon,Normal Monster
47728740,,Alich,, Malebranche of the Burning Abyss,,Effect Monster
652362,Alien Ammonite,Tuner Monster
17490535,Alien Brain,Trap Card
15475415,Alien Dog,Effect Monster
62437709,Alien Grey,Flip Effect Monster
62315111,Alien Hunter,Effect Monster
38468214,Alien Hypno,Gemini Monster
76573247,Alien Infiltrator,Effect Monster
64160836,Alien Kid,Effect Monster
99532708,Alien Mars,Effect Monster
24104865,Alien Mother,Effect Monster
63253763,Alien Overlord,Effect Monster
58012107,Alien Psychic,Effect Monster
97127906,Alien Shocktrooper,Normal Monster
74974229,Alien Shocktrooper M-Frame,Link Monster
25920413,Alien Skull,Effect Monster
91070115,Alien Telepath,Effect Monster
98719226,Alien Warrior,Effect Monster
70924884,Alinsection,Normal Monster
70335319,All-Eyes Phantom Dragon,Pendulum Effect Monster
30834988,All-Out Attacks,Trap Card
64428736,Alligator's Sword,Normal Monster
3366982,Alligator's Sword Dragon,Fusion Monster
1475311,Allure of Darkness,Spell Card
87257460,Allure Queen LV3,Effect Monster
23756165,Allure Queen LV5,Effect Monster
50140163,Allure Queen LV7,Effect Monster
92881099,Alluring Mirror Split,Spell Card
40155554,Ally Mind,Normal Tuner Monster
26593852,Ally of Justice Catastor,Synchro Monster
89386122,Ally of Justice Clausolas,Normal Monster
36629203,Ally of Justice Core Destroyer,Effect Monster
8822710,Ally of Justice Cosmic Gateway,Effect Monster
8233522,Ally of Justice Cycle Reader,Tuner Monster
45586855,Ally of Justice Cyclone Creator,Tuner Monster
9888196,Ally of Justice Decisive Armor,Synchro Monster
45033006,Ally of Justice Enemy Catcher,Effect Monster
69461394,Ally of Justice Field Marshal,Synchro Monster
25771826,Ally of Justice Garadholg,Effect Monster
19204398,Ally of Justice Light Gazer,Synchro Monster
76650663,Ally of Justice Nullfier,Effect Monster
45450218,Ally of Justice Omni-Weapon,Effect Monster
72845813,Ally of Justice Quarantine,Effect Monster
55982698,Ally of Justice Reverse Break,Effect Monster
52265835,Ally of Justice Rudra,Effect Monster
3648368,Ally of Justice Searcher,Effect Monster
85876417,Ally of Justice Thousand Arms,Effect Monster
71438011,Ally of Justice Thunder Armor,Effect Monster
22371016,Ally of Justice Unknown Crusher,Effect Monster
82377606,Ally of Justice Unlimiter,Effect Monster
59482302,Ally Salvo,Effect Monster
92998610,Aloof Lupine,Effect Monster
77797992,,Alpacaribou,, Mystical Beast of the Forest,,Effect Monster
42023223,Alpha The Electromagnet Warrior,Effect Monster
99785935,Alpha the Magnet Warrior,Normal Monster
73304257,,Alpha,, the Master of Beasts,,Effect Monster
10406322,,Alsei,, the Sylvan High Protector,,XYZ Monster
21070956,Altar for Tribute,Trap Card
80143954,Altergeist Camouflage,Trap Card
21187631,Altergeist Dragvirion,Synchro Monster
86885905,Altergeist Emulatelf,Trap Card
98753320,Altergeist Failover,Trap Card
12977245,Altergeist Fifinellag,Tuner Monster
85673903,Altergeist Fijialert,Effect Monster
2547033,Altergeist Haunted Rock,Trap Card
1508649,Altergeist Hexstia,Link Monster
76685519,Altergeist Kidolga,Link Monster
52927340,Altergeist Kunquery,Effect Monster
35146019,Altergeist Manifestation,Trap Card
53143898,Altergeist Marionetter,Effect Monster
25533642,Altergeist Meluseek,Effect Monster
23790299,Altergeist Memorygant,Link Monster
42790071,Altergeist Multifaker,Effect Monster
57769391,Altergeist Pixiel,Effect Monster
59185998,Altergeist Pookuery,Effect Monster
93503294,Altergeist Primebanshee,Link Monster
27541563,Altergeist Protocol,Trap Card
89538537,Altergeist Silquitous,Effect Monster
27632240,Altitude Knight,Effect Monster
27024795,Alviss of the Nordic Alfar,Effect Monster
100275001,Amabie-San,Effect Monster
32181268,Amano-Iwato,Spirit Monster
43739056,Amanokujaki,Tuner Monster
18988391,Amarylease,Effect Monster
20073910,Amaterasu,Spirit Monster
662855,Amatsu-Okami of the Divine Peaks,Link Monster
66984907,Amaze \u2c6fttraction Cyclone Coaster,Trap Card
92650018,Amaze \u2c6fttraction Horror House,Trap Card
29867611,Amaze \u2c6fttraction Majestic Man\u00e8ge,Trap Card
55262310,Amaze \u2c6fttraction Rapid Racing,Trap Card
93473606,Amaze \u2c6fttraction Wonder Wheel,Trap Card
94821366,Amazement Administrator (\u2c6frlechino),Effect Monster
30829071,Amazement Ambassador (Bufo),Effect Monster
67314110,Amazement Attendant (Comica),Effect Monster
20989253,Amazement Family Face,Trap Card
33773628,Amazement Precious Park,Spell Card
6374519,Amazement Special Show,Spell Card
37803970,Amazing Pendulum,Spell Card
70389815,Amazing Time Ticket,Spell Card
17968114,Amazon of the Seas,Normal Monster
91869203,Amazoness Archer,Effect Monster
67987611,Amazoness Archers,Trap Card
10928224,Amazoness Baby Tiger,Effect Monster
73574678,Amazoness Blowpiper,Effect Monster
57312333,Amazoness Call,Spell Card
29654737,Amazoness Chain Master,Effect Monster
4591250,Amazoness Empress,Fusion Monster
55821894,Amazoness Fighter,Effect Monster
36100154,Amazoness Fighting Spirit,Spell Card
79965360,Amazoness Heirloom,Spell Card
83407038,Amazoness Onslaught,Trap Card
47480070,Amazoness Paladin,Effect Monster
68507541,Amazoness Pet Liger,Fusion Monster
84539520,Amazoness Princess,Effect Monster
15951532,Amazoness Queen,Effect Monster
53162898,Amazoness Sage,Effect Monster
71209500,Amazoness Scouts,Effect Monster
6459419,Amazoness Shamanism,Trap Card
81325903,Amazoness Spellcaster,Spell Card
31102447,Amazoness Spy,Effect Monster
94004268,Amazoness Swords Woman,Effect Monster
10979723,Amazoness Tiger,Effect Monster
89567993,Amazoness Trainee,Effect Monster
712559,Amazoness Village,Spell Card
22082163,Amazoness Willpower,Trap Card
41224658,Ambitious Gofer,Effect Monster
98927491,Ambulance Rescueroid,Fusion Monster
36378213,Ambulanceroid,Effect Monster
77972406,Ambush Fangs,Trap Card
95174353,Ameba,Effect Monster
40213117,Amores of Prophecy,Effect Monster
98287529,,Amorphactor Pain,, the Imagination Dracoverlord,,Ritual Effect Monster
33300669,Amorphage Envy,Pendulum Effect Monster
34522216,Amorphage Gluttony,Pendulum Effect Monster
69072185,Amorphage Goliath,Pendulum Effect Monster
7305060,Amorphage Greed,Pendulum Effect Monster
50554729,Amorphage Infection,Spell Card
70917315,Amorphage Lechery,Pendulum Effect Monster
47598941,Amorphage Lysis,Trap Card
6283472,Amorphage Pride,Pendulum Effect Monster
32687071,Amorphage Sloth,Pendulum Effect Monster
79794767,Amorphage Wrath,Pendulum Effect Monster
23160024,Amorphous Persona,Spell Card
67371383,Amphibian Beast,Normal Monster
40173854,Amphibious Bugroth,Fusion Monster
64342551,Amphibious Bugroth MK-3,Effect Monster
20665527,Amphibious Swarmship Amblowhale,Link Monster
303660,Amplifier,Spell Card
75380687,Amulet Dragon,Fusion Monster
5183693,Amulet of Ambition,Spell Card
100416008,,Amunesia,, Queen of the Abhyss,,Effect Monster
23927567,An Owl of Luck,Flip Effect Monster
19763315,An Unfortunate Report,Trap Card
58324930,Anarchist Monk Ranshin,Effect Monster
42431843,Ancient Brain,Normal Monster
78665705,Ancient Chant,Spell Card
34487429,Ancient City - Rainbow Ruins,Spell Card
50781944,Ancient Crimson Ape,Effect Monster
38520918,Ancient Dragon,Effect Monster
93221206,Ancient Elf,Normal Monster
25862681,Ancient Fairy Dragon,Synchro Monster
26304459,Ancient Flamvell Deity,Synchro Monster
87624166,Ancient Forest,Spell Card
31557782,Ancient Gear,Effect Monster
10547580,Ancient Gear Ballista,Link Monster
10509340,Ancient Gear Beast,Effect Monster
60953949,Ancient Gear Box,Effect Monster
80045583,Ancient Gear Cannon,Effect Monster
92001300,Ancient Gear Castle,Spell Card
44052074,Ancient Gear Catapult,Spell Card
67829249,Ancient Gear Drill,Spell Card
1953925,Ancient Gear Engineer,Effect Monster
4446672,Ancient Gear Explosive,Spell Card
30435145,Ancient Gear Factory,Spell Card
40830387,Ancient Gear Fist,Spell Card
70147689,Ancient Gear Fortress,Spell Card
1278431,Ancient Gear Frame,Effect Monster
64061284,Ancient Gear Fusion,Spell Card
18486927,Ancient Gear Gadget,Effect Monster
86321248,Ancient Gear Gadjiltron Chimera,Effect Monster
50933533,Ancient Gear Gadjiltron Dragon,Effect Monster
83104731,Ancient Gear Golem,Effect Monster
95735217,Ancient Gear Golem - Ultimate Pound,Effect Monster
87182127,Ancient Gear Howitzer,Fusion Monster
42878636,Ancient Gear Hunting Hound,Effect Monster
81269231,Ancient Gear Hydra,Effect Monster
39303359,Ancient Gear Knight,Gemini Monster
37663536,Ancient Gear Megaton Golem,Fusion Monster
44874522,Ancient Gear Reactor Dragon,Effect Monster
47482043,Ancient Gear Reborn,Trap Card
56094445,Ancient Gear Soldier,Effect Monster
37457534,Ancient Gear Tank,Spell Card
44052075,Ancient Gear Token,Token
59811955,Ancient Gear Workshop,Spell Card
17663375,Ancient Gear Wyvern,Effect Monster
81492226,Ancient Jar,Normal Monster
54912977,Ancient Lamp,Effect Monster
11830996,Ancient Leaf,Spell Card
43230671,Ancient Lizard Warrior,Normal Monster
14015067,Ancient One of the Deep Forest,Normal Monster
4179255,Ancient Pixie Dragon,Synchro Monster
10667321,Ancient Rules,Spell Card
25958491,Ancient Sacred Wyvern,Synchro Monster
36821538,Ancient Sorcerer,Normal Monster
17092736,Ancient Telescope,Spell Card
49587396,Ancient Tool,Normal Monster
86421986,Ancient Tree of Enlightenment,Normal Monster
33545259,Ancient Warriors - Ambitious Cao De,Effect Monster
6438003,Ancient Warriors - Deceptive Jia Wen,Effect Monster
13923256,Ancient Warriors - Eccentric Lu Jing,Effect Monster
60033398,Ancient Warriors - Fearsome Zhang Yuan,Effect Monster
77539547,Ancient Warriors - Graceful Zhou Gong,Effect Monster
32422602,Ancient Warriors - Ingenious Zhuge Kong,Effect Monster
76416959,Ancient Warriors - Loyal Guan Yun,Effect Monster
40140448,Ancient Warriors - Masterful Sun Mou,Effect Monster
82791472,Ancient Warriors - Rebellious Lu Feng,Effect Monster
2801664,Ancient Warriors - Valiant Zhang De,Effect Monster
40428851,Ancient Warriors - Virtuous Liu Xuan,Effect Monster
65711558,Ancient Warriors Oath - Double Dragon Lords,Link Monster
33609093,Ancient Warriors Saga - Borrowing of Arrows,Spell Card
82255872,Ancient Warriors Saga - Chivalrous Path,Trap Card
4810585,Ancient Warriors Saga - Defense of Changban,Trap Card
62528292,Ancient Warriors Saga - East-by-South Winds,Spell Card
58116537,Ancient Warriors Saga - Sun-Liu Alliance,Spell Card
11711438,Ancient Warriors Saga - Three Visits,Spell Card
47594939,And the Band Played On,Trap Card
15013468,Andro Sphinx,Effect Monster
53266486,Anesthrokket Dragon,Effect Monster
82243738,Angel O1,Effect Monster
56784842,Angel O7,Effect Monster
42216237,Angel of Zera,Synchro Monster
44822037,Angel Statue - Azurune,Trap Card
87979586,Angel Trumpeter,Normal Tuner Monster
65612386,Angmarl the Fiendish Monarch,Effect Monster
73979030,Angraecum Umbrella,Tuner Monster
98022050,Animadorned Archosaur,Effect Monster
595626,Ankuriboh,Effect Monster
29603180,Annihilator Archfiend,Effect Monster
48365709,Ansatsu,Normal Monster
34236961,Ante,Spell Card
13250922,Anteatereatingant,Effect Monster
89904598,Anthrosaurus,Normal Monster
42364257,Anti Raigeki,Trap Card
65064143,Anti-Aircraft Flower,Effect Monster
72150572,Anti-Fusion Device,Trap Card
97120394,Anti-Magic Arrows,Spell Card
20138923,Anti-Magic Prism,Trap Card
53112492,Anti-Spell,Trap Card
58921041,Anti-Spell Fragrance,Trap Card
43583400,Antialian,Effect Monster
41098335,Ape Fighter,Effect Monster
31975743,Ape Magician,Effect Monster
41158734,Apocatequil,Effect Monster
4280258,,Apollousa,, Bow of the Goddess,,Link Monster
40061558,Apoqliphort Skybase,Effect Monster
27279764,Apoqliphort Towers,Effect Monster
91392974,Apparition,Trap Card
56132807,Apple Magician Girl,Effect Monster
43341600,Apple of Enlightenment,Trap Card
5846183,Appliancer Breakerbuncle,Effect Monster
78225596,Appliancer Celtopus,Link Monster
41830887,Appliancer Copybokkle,Effect Monster
3507053,Appliancer Dryer Drake,Link Monster
3875465,Appliancer Electrilyrical World,Spell Card
4729591,Appliancer Kappa Scale,Link Monster
77102944,Appliancer Laundry Dragon,Link Monster
30996652,Appliancer Reuse,Spell Card
78447174,Appliancer Socketroll,Effect Monster
66380357,Appliancer Test,Spell Card
30118200,Appliancer Vacculephant,Link Monster
43262273,Appointer of the Red Lotus,Trap Card
30603688,Apprentice Illusion Magician,Effect Monster
9156135,Apprentice Magician,Effect Monster
64977888,Apprentice Piper,Flip Effect Monster
48539234,Appropriate,Trap Card
96427353,Aqua Armor Ninja,Effect Monster
95132338,Aqua Chorus,Trap Card
86164529,Aqua Dragon,Fusion Monster
7653207,Aqua Jet,Spell Card
85639257,Aqua Madoor,Normal Monster
12436646,Aqua Snake,Normal Monster
40916023,Aqua Spirit,Effect Monster
28325165,Aqua Story - Urashima,Trap Card
92053608,Aquaactress Arowana,Effect Monster
66668900,Aquaactress Guppy,Effect Monster
39260991,Aquaactress Tetra,Effect Monster
78910579,Aquamirror Cycle,Trap Card
64437633,Aquamirror Illusion,Trap Card
46337945,Aquamirror Meditation,Trap Card
22377815,Aquarian Alessa,Gemini Monster
91831066,Aquarium Lighting,Spell Card
65446452,Aquarium Set,Spell Card
29047353,Aquarium Stage,Spell Card
16889337,Aratama,Spirit Monster
64276752,Arc Rebellion Xyz Dragon,XYZ Monster
99189322,Arcana Call,Trap Card
64454614,Arcana Extra Joker,Link Monster
62892347,Arcana Force 0 - The Fool,Effect Monster
69831560,Arcana Force EX - The Dark Ruler,Effect Monster
5861892,Arcana Force EX - The Light Ruler,Effect Monster
8396952,Arcana Force I - The Magician,Effect Monster
35781051,Arcana Force III - The Empress,Effect Monster
61175706,Arcana Force IV - The Emperor,Effect Monster
97574404,Arcana Force VI - The Lovers,Effect Monster
34568403,Arcana Force VII - The Chariot,Effect Monster
60953118,Arcana Force XIV - Temperance,Effect Monster
97452817,Arcana Force XVIII - The Moon,Effect Monster
23846921,Arcana Force XXI - The World,Effect Monster
6150044,Arcana Knight Joker,Fusion Monster
11819473,Arcana Reading,Spell Card
40048324,Arcane Apprentice,Tuner Monster
55001420,Arcane Archer of the Forest,Effect Monster
17896384,Arcane Barrier,Spell Card
31924889,Arcanite Magician,Synchro Monster
14553285,Arcanite Magician/Assault Mode,Effect Monster
45349196,Archfiend Black Skull Dragon,Fusion Monster
92039899,Archfiend Cavalry,Effect Monster
68371799,Archfiend Commander,Effect Monster
57624336,Archfiend Eccentrick,Pendulum Effect Monster
28423537,,Archfiend Emperor,, the First Lord of Horror,,Effect Monster
31766317,Archfiend Empress,Effect Monster
48675364,Archfiend General,Effect Monster
84341431,Archfiend Giant,Effect Monster
66540884,Archfiend Heiress,Effect Monster
14430063,Archfiend Interceptor,Effect Monster
75889523,Archfiend Marmot of Nefariousness,Normal Monster
15150371,Archfiend Mirror,Normal Monster
50287060,Archfiend of Gilfer,Effect Monster
63883999,Archfiend Palabyrinth,Spell Card
49881766,Archfiend Soldier,Normal Monster
59969392,Archfiend Zombie-Skull,Synchro Monster
61248471,Archfiend's Ascent,XYZ Monster
95825679,Archfiend's Awakening,Ritual Effect Monster
64635042,Archfiend's Call,Synchro Monster
32775808,Archfiend's Manifestation,Fusion Monster
22796548,Archfiend's Oath,Spell Card
56246017,Archfiend's Roar,Trap Card
21438286,Archfiend's Staff of Despair,Spell Card
59509952,Archlord Kristya,Effect Monster
18378582,Archlord Zerato,Effect Monster
33212663,Archnemeses Eschatos,Effect Monster
6728559,Archnemeses Protos,Effect Monster
38173725,Arcjet Lightcraft,Effect Monster
40502912,Aria the Melodious Diva,Effect Monster
56827051,,Ariel,, Priestess of the Nekroz,,Effect Monster
29904964,Arisen Gaia the Fierce Knight,Effect Monster
33282498,Arkbrave Dragon,Effect Monster
14708569,Arlownay,Normal Monster
36151751,Arma Knight,Normal Monster
88033975,,Armades,, Keeper of Boundaries,,Synchro Monster
28493337,Armageddon Designator,Trap Card
28985331,Armageddon Knight,Effect Monster
53153481,Armaill,Normal Monster
90374791,Armed Changer,Spell Card
61606250,Armed Dragon Blitz,Spell Card
75906310,Armed Dragon Catapult Cannon,Fusion Monster
34611551,Armed Dragon Flash,Spell Card
97091969,Armed Dragon Lightning,Spell Card
59464593,Armed Dragon LV10,Effect Monster
84425220,Armed Dragon LV10 White,Effect Monster
980973,Armed Dragon LV3,Effect Monster
46384672,Armed Dragon LV5,Effect Monster
73879377,Armed Dragon LV7,Effect Monster
58153103,Armed Dragon Thunder LV10,Effect Monster
57030525,Armed Dragon Thunder LV3,Effect Monster
21546416,Armed Dragon Thunder LV5,Effect Monster
94141712,Armed Dragon Thunder LV7,Effect Monster
57605303,Armed Dragon Thunderbolt,Trap Card
9076207,Armed Ninja,Flip Effect Monster
29330706,Armed Protector Dragon,Effect Monster
84430950,Armed Samurai - Ben Kei,Effect Monster
20470500,Armed Sea Hunter,Effect Monster
36768783,,Armillyre,, the Starleader Dragon,,Link Monster
43378048,Armityle the Chaos Phantasm,Fusion Monster
60110982,Armityle the Chaos Phantasm - Phantom of Fury,Fusion Monster
79155167,Armor Blast,Spell Card
79649195,Armor Break,Trap Card
87798440,Armor Breaker,Union Effect Monster
58827995,Armor Dragon Ritual,Spell Card
7180418,Armor Exe,Effect Monster
16272453,Armor Ninjitsu Art of Alchemy,Spell Card
65150219,Armor Ninjitsu Art of Freezing,Trap Card
2148918,Armor Ninjitsu Art of Rust Mist,Trap Card
62742651,Armored Axon Kicker,Effect Monster
86915847,Armored Bee,Effect Monster
29374928,Armored Bitron,Effect Monster
67159705,Armored Cybern,Union Effect Monster
36868108,Armored Glass,Trap Card
50789693,Armored Kappa,XYZ Monster
15480588,Armored Lizard,Normal Monster
16246527,Armored Rat,Normal Monster
17535588,Armored Starfish,Normal Monster
17170970,Armored White Bear,Effect Monster
20277860,Armored Zombie,Normal Monster
73333463,Armoroid,Effect Monster
29071332,Armory Arm,Synchro Monster
38960450,Armory Call,Trap Card
22493812,Army Ant Token,Token
29687169,,Arnis,, the Empowered Warrior,,Effect Monster
5050644,Aroma Garden,Spell Card
29189613,Aroma Gardening,Spell Card
21452275,Aroma Jar,Flip Effect Monster
300202007,Aroma Strategy,Skill Card
85967160,Aromage Bergamot,Effect Monster
22174866,Aromage Cananga,Effect Monster
96789758,Aromage Jasmine,Effect Monster
14169843,Aromage Laurel,Effect Monster
40663548,Aromage Marjoram,Effect Monster
58569561,Aromage Rosemary,Effect Monster
16759958,Aromaseraphy Angelica,Tuner Monster
21200905,Aromaseraphy Jasmine,Link Monster
38148100,Aromaseraphy Rosemary,Synchro Monster
79656239,Aromaseraphy Sweet Marjoram,Synchro Monster
100416007,,Aron,, King of the Abhyss,,Effect Monster
69296555,Array of Revealing Light,Spell Card
29508346,Arrivalrivals,Spell Card
42364374,Arsenal Bug,Effect Monster
55348096,Arsenal Robber,Trap Card
85489096,Arsenal Summoner,Flip Effect Monster
34755994,,Artemis,, the Magistus Moon Maiden,,Link Monster
11475049,Artifact Achilleshield,Effect Monster
85080444,Artifact Aegis,Effect Monster
12697630,Artifact Beagalltach,Effect Monster
84268896,Artifact Caduceus,Effect Monster
8873112,Artifact Chakram,Effect Monster
7480763,Artifact Dagda,Link Monster
69840739,Artifact Durendal,XYZ Monster
48086335,Artifact Failnaught,Effect Monster
29223325,Artifact Ignition,Spell Card
47863787,Artifact Labrys,Effect Monster
34267821,Artifact Lancea,Effect Monster
80237445,Artifact Mjollnir,Effect Monster
85103922,Artifact Moralltach,Effect Monster
12444060,Artifact Sanctum,Trap Card
20292186,Artifact Scythe,Effect Monster
69304426,Artifact Vajra,Effect Monster
56611470,Artifacts Unleashed,Spell Card
7913375,Artillery Catapult Turtle,Effect Monster
21223277,,Artorigus,, King of the Noble Knights,,XYZ Monster
71821687,,Ascator,, Dawnwalker,,Effect Monster
88301833,Ascending Soul,Spell Card
37910722,Ascension Sky Dragon,Synchro Monster
27821104,Asceticism of the Six Samurai,Spell Card
14558127,Ash Blossom & Joyous Spring,Tuner Monster
99657399,Asleep at the Switch,Trap Card
85771020,Asmo Token,Token
88190790,Assault Armor,Spell Card
3431737,Assault Beast,Effect Monster
23338098,Assault Blackwing - Chidori the Rain Sprinkling,Synchro Monster
70456282,Assault Blackwing - Kunai the Drizzle,Effect Monster
80773359,Assault Blackwing - Onimaru the Divine Thunder,Synchro Monster
16051717,Assault Blackwing - Raikiri the Rain Shower,Synchro Monster
17994645,Assault Blackwing - Sayo the Rain Hider,Synchro Monster
